temperatura,humedad,ruido,clase
-1,43,33,-1
51,52,42,-1
17,40,53,-1
48,35,11,-1
7,45,49,-1
48,49,26,-1
39,44,53,-1
44,50,41,-1
19,55,10,-1
-16,46,22,-1
15,38,15,-1
44,43,19,-1
-5,40,32,-1
3,53,43,-1
47,44,44,-1
44,42,24,-1
1,37,34,-1
0,42,16,-1
11,38,28,-1
32,35,18,-1
44,45,53,-1
48,40,33,-1
40,37,15,-1
30,40,19,-1
49,47,24,-1
-6,53,29,-1
37,41,25,-1
4,35,22,-1
5,48,36,-1
50,53,40,-1
45,35,31,-1
-17,44,15,-1
-7,36,19,-1
11,41,29,-1
-10,38,23,-1
50,50,48,-1
4,36,41,-1
50,43,40,-1
-14,52,18,-1
42,45,43,-1
20,53,14,-1
19,38,53,-1
49,45,32,-1
33,51,29,-1
2,47,16,-1
-7,39,13,-1
14,55,30,-1
-9,42,45,-1
-10,53,20,-1
48,51,32,-1
10,48,10,-1
-6,54,23,-1
45,54,30,-1
40,36,49,-1
-5,48,53,-1
-4,37,19,-1
-14,38,12,-1
33,49,13,-1
-13,52,7,-1
6,42,42,-1
46,55,14,-1
32,42,19,-1
33,52,16,-1
8,55,14,-1
12,43,6,-1
-7,45,45,-1
6,47,15,-1
6,49,43,-1
-16,46,28,-1
-9,44,55,-1
15,53,41,-1
32,50,12,-1
8,40,29,-1
38,35,14,-1
31,48,13,-1
2,46,23,-1
42,42,31,-1
-15,54,30,-1
-17,44,52,-1
-6,51,37,-1
-2,53,29,-1
-6,55,17,-1
43,54,55,-1
10,48,52,-1
17,45,49,-1
49,35,45,-1
-15,40,6,-1
-5,54,41,-1
8,40,15,-1
2,52,42,-1
12,47,32,-1
12,54,28,-1
15,51,38,-1
7,55,38,-1
-7,52,8,-1
2,51,45,-1
-16,48,43,-1
-13,44,15,-1
-3,54,11,-1
-9,40,16,-1
0,45,47,-1
12,37,28,-1
-10,38,34,-1
5,45,46,-1
19,37,46,-1
9,45,40,-1
-11,40,33,-1
35,41,8,-1
46,36,9,-1
46,50,23,-1
32,54,48,-1
35,55,18,-1
0,41,39,-1
4,49,52,-1
-11,52,21,-1
33,39,46,-1
2,54,38,-1
46,35,26,-1
51,42,32,-1
39,53,30,-1
50,46,48,-1
-9,37,26,-1
39,37,22,-1
31,42,54,-1
6,36,33,-1
-4,47,35,-1
42,55,23,-1
33,39,19,-1
-18,43,6,-1
44,47,18,-1
32,45,45,-1
-13,52,41,-1
13,53,53,-1
46,49,12,-1
41,46,16,-1
47,39,17,-1
36,48,52,-1
51,39,7,-1
34,50,34,-1
39,35,41,-1
-3,43,6,-1
14,51,48,-1
42,53,24,-1
2,37,21,-1
11,45,33,-1
15,55,9,-1
41,37,10,-1
-9,41,34,-1
-13,51,18,-1
38,44,53,-1
-5,43,52,-1
-12,48,14,-1
39,43,30,-1
51,50,54,-1
37,55,36,-1
1,41,33,-1
1,51,40,-1
-9,49,29,-1
41,49,10,-1
-5,40,41,-1
9,39,20,-1
-10,46,37,-1
50,50,36,-1
-2,51,38,-1
37,40,28,-1
-2,44,12,-1
43,41,52,-1
41,55,52,-1
36,44,22,-1
42,37,14,-1
9,49,26,-1
46,39,55,-1
-9,38,52,-1
2,51,32,-1
41,45,12,-1
-6,51,51,-1
1,36,39,-1
-12,37,22,-1
43,50,13,-1
5,38,43,-1
43,35,55,-1
48,43,52,-1
39,46,43,-1
42,54,33,-1
31,45,53,-1
-10,51,34,-1
-1,44,14,-1
46,40,55,-1
42,38,36,-1
14,50,14,-1
0,41,11,-1
40,55,27,-1
45,55,17,-1
-6,51,21,-1
39,54,30,-1
-7,40,42,-1
17,48,52,-1
-11,49,38,-1
51,51,18,-1
38,53,10,-1
40,52,12,-1
3,44,33,-1
9,35,8,-1
-15,47,41,-1
-5,53,50,-1
50,51,15,-1
5,42,37,-1
-2,48,33,-1
32,55,6,-1
1,49,26,-1
48,48,26,-1
50,44,43,-1
1,47,16,-1
-12,44,26,-1
44,54,28,-1
51,35,41,-1
17,49,20,-1
33,55,32,-1
-2,54,31,-1
48,52,23,-1
4,49,36,-1
2,43,45,-1
0,48,48,-1
2,44,34,-1
-9,44,54,-1
16,40,47,-1
-6,43,21,-1
12,49,31,-1
-4,35,28,-1
31,45,39,-1
3,54,36,-1
10,50,8,-1
-2,35,6,-1
20,47,33,-1
16,45,21,-1
48,37,40,-1
-15,35,30,-1
4,47,23,-1
-13,43,20,-1
37,41,34,-1
37,54,46,-1
16,47,9,-1
35,37,9,-1
-11,37,14,-1
37,37,45,-1
17,35,22,-1
4,52,35,-1
37,38,32,-1
-6,40,26,-1
-4,46,25,-1
50,37,23,-1
-9,45,19,-1
47,37,14,-1
16,41,36,-1
37,47,10,-1
-16,35,19,-1
18,43,36,-1
0,46,34,-1
-5,52,25,-1
11,39,47,-1
13,37,17,-1
47,42,51,-1
-14,51,45,-1
-4,52,27,-1
-9,44,40,-1
-16,55,17,-1
19,41,49,-1
-18,49,11,-1
44,43,11,-1
0,41,53,-1
20,35,41,-1
-14,37,25,-1
10,55,45,-1
-2,43,8,-1
8,43,55,-1
-10,48,39,-1
34,47,10,-1
-1,39,12,-1
5,37,25,-1
-7,46,44,-1
-18,45,28,-1
14,51,7,-1
20,40,7,-1
0,41,20,-1
6,51,23,-1
20,44,50,-1
-5,50,42,-1
-13,50,9,-1
-18,51,14,-1
-18,52,42,-1
-8,54,40,-1
-6,50,27,-1
32,52,11,-1
-9,54,35,-1
16,49,53,-1
-15,36,30,-1
2,53,44,-1
13,51,38,-1
47,45,22,-1
-8,54,12,-1
48,36,9,-1
38,45,20,-1
36,45,41,-1
-11,45,36,-1
-1,41,54,-1
0,49,14,-1
39,36,28,-1
13,48,31,-1
-10,37,41,-1
-13,48,29,-1
13,51,29,-1
46,53,32,-1
-15,40,39,-1
-1,44,24,-1
-11,41,35,-1
-6,35,22,-1
31,36,40,-1
-6,36,32,-1
19,41,16,-1
-15,42,44,-1
1,35,29,-1
43,38,41,-1
7,42,36,-1
40,53,29,-1
47,50,19,-1
18,44,7,-1
0,49,20,-1
5,55,54,-1
31,48,12,-1
17,42,25,-1
48,41,14,-1
45,52,40,-1
12,49,26,-1
48,53,12,-1
19,48,48,-1
-17,48,10,-1
12,47,12,-1
40,43,41,-1
-13,43,28,-1
18,52,43,-1
1,48,28,-1
41,36,55,-1
-2,53,19,-1
30,35,33,-1
50,43,39,-1
-9,47,53,-1
51,41,53,-1
-15,43,30,-1
33,45,41,-1
47,38,16,-1
-12,37,46,-1
0,51,42,-1
37,48,29,-1
51,46,8,-1
39,48,33,-1
42,54,34,-1
-4,47,39,-1
31,52,45,-1
5,45,7,-1
3,45,28,-1
-6,40,41,-1
-16,51,33,-1
50,43,32,-1
8,44,50,-1
17,44,43,-1
6,55,48,-1
-4,54,51,-1
43,48,13,-1
51,54,25,-1
51,38,6,-1
19,50,23,-1
0,45,32,-1
4,40,45,-1
19,38,37,-1
37,48,40,-1
-8,54,30,-1
38,35,34,-1
44,42,27,-1
-15,44,35,-1
15,38,16,-1
46,43,38,-1
-7,43,55,-1
5,54,29,-1
39,44,46,-1
-17,37,26,-1
-7,48,36,-1
34,49,25,-1
48,43,46,-1
-12,45,39,-1
32,45,35,-1
13,36,43,-1
-14,49,40,-1
38,37,13,-1
14,36,11,-1
32,49,7,-1
44,47,29,-1
42,50,54,-1
16,54,52,-1
37,55,12,-1
-11,54,28,-1
50,52,37,-1
47,36,22,-1
14,35,18,-1
6,43,19,-1
16,51,6,-1
37,41,43,-1
-4,41,46,-1
49,43,52,-1
6,40,6,-1
43,52,27,-1
30,39,40,-1
1,47,44,-1
35,48,6,-1
36,39,33,-1
15,47,55,-1
34,47,11,-1
43,49,21,-1
18,47,45,-1
-12,44,23,-1
10,45,7,-1
12,41,42,-1
15,42,42,-1
3,38,27,-1
-5,37,14,-1
42,37,48,-1
-16,53,40,-1
36,37,30,-1
-4,46,19,-1
32,55,49,-1
-13,49,55,-1
10,54,31,-1
50,45,10,-1
37,35,18,-1
-2,49,8,-1
38,50,26,-1
15,45,8,-1
5,51,43,-1
16,38,9,-1
2,55,29,-1
30,38,13,-1
1,42,19,-1
41,43,20,-1
35,38,39,-1
-17,52,12,-1
-4,43,8,-1
38,37,36,-1
39,44,41,-1
47,53,20,-1
-17,45,25,-1
8,53,6,-1
42,44,36,-1
-13,46,29,-1
49,48,15,-1
10,37,44,-1
40,53,10,-1
48,37,35,-1
16,48,25,-1
12,39,19,-1
-13,55,19,-1
-18,54,52,-1
42,41,55,-1
7,37,12,-1
10,47,20,-1
-8,44,30,-1
49,40,13,-1
10,53,25,-1
-18,35,10,-1
-18,44,33,-1
39,49,54,-1
-16,43,49,-1
0,53,55,-1
4,44,28,-1
50,43,53,-1
-17,46,47,-1
37,46,15,-1
19,51,42,-1
6,55,18,-1
31,50,46,-1
10,45,11,-1
-16,50,32,-1
48,50,41,-1
0,41,14,-1
-16,45,36,-1
38,42,51,-1
-6,36,41,-1
46,35,51,-1
44,45,37,-1
2,38,32,-1
5,35,35,-1
38,35,54,-1
-13,36,27,-1
-10,44,37,-1
-11,49,32,-1
51,48,52,-1
41,55,14,-1
-18,50,10,-1
48,39,48,-1
6,43,9,-1
0,55,15,-1
47,54,43,-1
-11,47,25,-1
-8,51,48,-1
48,54,20,-1
15,53,42,-1
1,35,14,-1
36,55,34,-1
34,39,51,-1
-10,51,10,-1
20,36,6,-1
-18,40,35,-1
16,55,6,-1
-16,52,19,-1
4,50,18,-1
7,43,18,-1
18,55,30,-1
37,39,44,-1
-15,39,46,-1
-7,42,7,-1
9,44,28,-1
-7,41,17,-1
30,35,54,-1
42,41,50,-1
7,38,35,-1
-2,35,39,-1
-13,53,51,-1
5,38,54,-1
35,52,43,-1
49,54,19,-1
-18,40,50,-1
51,44,50,-1
35,39,40,-1
-15,38,29,-1
32,42,20,-1
9,36,14,-1
37,36,20,-1
19,39,13,-1
-17,39,26,-1
3,51,6,-1
43,52,6,-1
39,53,44,-1
42,52,32,-1
50,44,36,-1
1,52,29,-1
20,35,36,-1
5,51,16,-1
-4,55,14,-1
9,47,31,-1
42,43,13,-1
15,38,17,-1
1,35,26,-1
-12,54,38,-1
12,43,27,-1
-16,50,6,-1
17,47,7,-1
-14,42,47,-1
20,51,39,-1
-7,48,42,-1
10,36,33,-1
20,35,50,-1
46,42,41,-1
12,49,36,-1
46,52,25,-1
-13,50,18,-1
-10,55,6,-1
39,47,49,-1
5,35,40,-1
40,37,18,-1
-11,46,50,-1
43,53,10,-1
0,45,41,-1
6,55,23,-1
34,55,25,-1
16,42,54,-1
39,49,38,-1
10,46,49,-1
-4,45,19,-1
-10,40,47,-1
42,36,23,-1
-10,55,12,-1
42,42,41,-1
-12,43,12,-1
-5,48,23,-1
50,48,53,-1
1,44,33,-1
20,35,10,-1
34,37,54,-1
-5,38,28,-1
-18,41,46,-1
4,38,23,-1
20,44,36,-1
41,49,39,-1
8,51,43,-1
-3,37,53,-1
13,36,9,-1
37,48,43,-1
6,48,23,-1
10,51,36,-1
49,51,44,-1
-17,35,25,-1
20,38,37,-1
-17,35,21,-1
-14,35,15,-1
4,42,23,-1
16,45,9,-1
-2,49,25,-1
44,48,37,-1
36,42,13,-1
-1,37,45,-1
-11,51,10,-1
44,55,41,-1
10,35,6,-1
5,37,18,-1
33,45,26,-1
-14,48,25,-1
-7,50,32,-1
-13,39,9,-1
2,52,32,-1
-15,50,20,-1
18,39,7,-1
11,51,25,-1
33,45,47,-1
49,50,51,-1
50,43,50,-1
13,36,30,-1
-8,52,25,-1
46,35,12,-1
-9,54,50,-1
0,40,51,-1
-4,54,13,-1
-8,48,55,-1
37,44,38,-1
5,43,30,-1
12,42,35,-1
39,55,9,-1
34,35,38,-1
16,50,27,-1
31,50,49,-1
-15,40,20,-1
51,55,38,-1
-9,55,7,-1
50,52,15,-1
-3,46,48,-1
7,44,25,-1
-7,54,10,-1
32,35,9,-1
19,42,52,-1
-3,45,39,-1
2,42,33,-1
3,50,34,-1
-5,39,26,-1
9,39,17,-1
10,43,11,-1
9,35,7,-1
51,37,50,-1
-16,42,52,-1
10,37,9,-1
-2,50,31,-1
49,49,32,-1
38,37,35,-1
-4,51,11,-1
-13,51,9,-1
-17,43,32,-1
18,37,43,-1
15,53,20,-1
9,43,37,-1
44,45,8,-1
2,38,16,-1
35,49,29,-1
48,39,44,-1
41,35,25,-1
8,53,40,-1
45,38,50,-1
11,47,28,-1
17,36,9,-1
34,53,6,-1
15,38,53,-1
-15,46,39,-1
-16,54,26,-1
11,53,40,-1
-3,55,30,-1
-4,48,17,-1
41,46,48,-1
-10,40,45,-1
36,54,44,-1
50,43,15,-1
35,36,28,-1
3,38,28,-1
-17,53,31,-1
43,41,48,-1
-10,35,48,-1
11,48,30,-1
5,38,40,-1
-13,46,54,-1
10,41,39,-1
16,45,34,-1
-13,35,34,-1
-13,38,19,-1
9,40,34,-1
33,47,53,-1
-8,43,35,-1
16,53,49,-1
32,44,35,-1
33,40,26,-1
15,39,33,-1
-11,38,43,-1
48,52,41,-1
46,38,10,-1
-5,51,20,-1
47,40,44,-1
43,48,52,-1
34,40,11,-1
41,55,17,-1
18,49,29,-1
36,52,30,-1
-11,51,42,-1
14,44,36,-1
31,41,55,-1
41,42,41,-1
15,55,6,-1
-13,40,27,-1
43,39,15,-1
-10,53,35,-1
10,54,34,-1
39,47,15,-1
-4,55,42,-1
47,43,23,-1
34,53,24,-1
7,41,20,-1
45,46,12,-1
16,39,48,-1
34,54,24,-1
-14,53,13,-1
47,55,23,-1
37,39,37,-1
34,48,47,-1
2,36,48,-1
33,40,21,-1
33,48,45,-1
9,37,13,-1
19,49,25,-1
40,46,36,-1
40,45,34,-1
-18,45,30,-1
18,49,25,-1
4,54,46,-1
8,51,17,-1
1,43,52,-1
0,54,41,-1
37,37,16,-1
35,37,28,-1
-8,41,47,-1
4,41,12,-1
-7,55,32,-1
42,45,25,-1
50,53,35,-1
45,41,33,-1
-5,41,42,-1
5,53,33,-1
41,41,7,-1
-10,39,51,-1
-16,49,10,-1
-15,39,42,-1
39,52,32,-1
9,38,47,-1
-14,47,39,-1
40,55,22,-1
38,40,17,-1
-6,40,19,-1
-11,42,25,-1
43,37,28,-1
1,37,39,-1
-11,49,46,-1
6,41,6,-1
47,50,46,-1
20,39,31,-1
48,44,19,-1
8,55,39,-1
51,36,47,-1
14,43,30,-1
17,49,7,-1
18,48,49,-1
34,54,51,-1
8,43,39,-1
33,48,50,-1
20,43,10,-1
12,46,12,-1
7,48,36,-1
32,45,12,-1
-5,49,13,-1
-4,42,46,-1
-13,45,19,-1
-5,43,41,-1
39,52,25,-1
5,50,30,-1
45,42,20,-1
-7,42,35,-1
17,47,55,-1
7,41,6,-1
4,54,50,-1
43,41,49,-1
7,53,51,-1
35,35,49,-1
50,53,23,-1
39,42,51,-1
12,40,42,-1
0,44,46,-1
7,35,35,-1
32,49,8,-1
-7,38,12,-1
-14,36,25,-1
-5,39,18,-1
45,40,35,-1
-13,52,53,-1
14,44,55,-1
3,47,22,-1
-13,52,51,-1
-9,46,45,-1
6,46,10,-1
3,35,16,-1
10,38,8,-1
4,50,29,-1
10,50,45,-1
-7,38,25,-1
-8,47,38,-1
20,52,53,-1
-8,39,28,-1
-9,50,20,-1
6,38,46,-1
40,43,10,-1
-7,51,6,-1
46,54,34,-1
6,54,40,-1
50,45,6,-1
20,39,53,-1
9,53,50,-1
-4,37,11,-1
2,38,31,-1
45,51,36,-1
-17,38,40,-1
42,36,9,-1
11,39,29,-1
46,41,32,-1
19,54,10,-1
10,41,53,-1
51,55,14,-1
-18,41,27,-1
14,36,14,-1
-16,52,31,-1
0,51,19,-1
14,50,38,-1
34,52,30,-1
39,48,38,-1
-1,36,18,-1
0,50,49,-1
36,40,20,-1
2,50,30,-1
14,39,24,-1
-11,48,31,-1
10,50,36,-1
34,39,49,-1
36,44,50,-1
9,46,32,-1
47,45,31,-1
6,52,33,-1
35,47,33,-1
0,49,51,-1
48,40,38,-1
3,45,38,-1
16,44,19,-1
-10,55,21,-1
14,43,45,-1
51,52,15,-1
41,50,25,-1
39,51,33,-1
-9,42,11,-1
18,48,7,-1
33,51,14,-1
14,39,39,-1
19,41,47,-1
15,40,44,-1
-12,35,28,-1
5,51,33,-1
-16,40,43,-1
-15,51,24,-1
13,43,35,-1
7,52,25,-1
16,42,23,-1
10,37,42,-1
35,43,32,-1
12,50,24,-1
-5,35,45,-1
-11,48,28,-1
13,50,20,-1
14,47,50,-1
49,38,21,-1
-7,46,35,-1
-1,42,49,-1
5,47,25,-1
-14,45,50,-1
12,37,35,-1
17,53,48,-1
5,39,17,-1
16,37,20,-1
-11,54,8,-1
-7,40,27,-1
42,36,42,-1
11,44,20,-1
12,46,16,-1
7,49,36,-1
-1,41,19,-1
39,43,37,-1
16,36,38,-1
32,54,8,-1
-2,38,54,-1
37,52,35,-1
-18,51,6,-1
40,39,22,-1
30,38,12,-1
16,42,38,-1
41,52,40,-1
5,41,16,-1
40,41,12,-1
9,40,36,-1
47,36,49,-1
14,38,29,-1
3,43,54,-1
-12,43,9,-1
17,39,14,-1
12,50,28,-1
9,50,52,-1
33,47,50,-1
38,50,27,-1
8,49,24,-1
8,42,28,-1
19,38,7,-1
-8,47,7,-1
11,52,11,-1
41,43,32,-1
-15,40,27,-1
11,47,26,-1
14,47,20,-1
46,55,15,-1
-10,43,52,-1
49,43,8,-1
-3,39,47,-1
-3,37,16,-1
32,35,6,-1
41,40,35,-1
19,45,41,-1
-15,51,47,-1
45,35,32,-1
-5,38,34,-1
45,53,31,-1
-5,42,21,-1
-10,41,46,-1
-14,49,47,-1
41,37,11,-1
9,51,44,-1
38,55,10,-1
15,46,47,-1
41,41,11,-1
16,41,30,-1
12,53,29,-1
3,45,34,-1
-12,54,8,-1
20,51,19,-1
32,52,37,-1
-3,43,52,-1
37,35,28,-1
47,37,48,-1
1,48,17,-1
-2,50,18,-1
19,36,52,-1
-7,48,44,-1
-3,49,45,-1
12,35,7,-1
38,39,37,-1
-5,43,15,-1
19,43,27,-1
40,55,45,-1
-4,40,43,-1
20,44,7,-1
-7,42,23,-1
11,50,16,-1
2,45,46,-1
-13,54,23,-1
45,50,24,-1
46,46,42,-1
5,54,48,-1
13,51,36,-1
30,49,48,-1
-1,36,48,-1
14,47,40,-1
35,51,20,-1
-12,52,42,-1
-13,37,24,-1
-7,55,40,-1
-7,49,39,-1
48,36,15,-1
4,55,18,-1
11,49,12,-1
6,49,53,-1
15,35,11,-1
16,44,23,-1
35,47,41,-1
-14,48,44,-1
34,42,43,-1
38,49,54,-1
12,49,44,-1
49,40,12,-1
6,43,25,-1
44,46,38,-1
-11,55,38,-1
44,45,25,-1
-6,44,8,-1
-14,51,53,-1
7,46,47,-1
37,46,39,-1
35,39,48,-1
-17,55,7,-1
-12,43,6,-1
15,42,15,-1
1,35,13,-1
11,40,10,-1
7,51,50,-1
36,35,26,-1
-10,52,16,-1
-15,53,6,-1
-1,47,52,-1
-18,50,21,-1
50,41,15,-1
-9,36,6,-1
-6,49,55,-1
19,50,49,-1
3,49,16,-1
12,54,7,-1
-14,49,28,-1
18,47,52,-1
48,41,42,-1
0,36,43,-1
5,47,44,-1
31,44,17,-1
32,52,15,-1
47,41,12,-1
7,52,49,-1
47,46,36,-1
-2,52,23,-1
-5,42,10,-1
11,39,42,-1
2,48,17,-1
1,46,54,-1
-5,52,43,-1
12,50,35,-1
34,53,51,-1
-12,49,11,-1
-17,53,36,-1
46,48,10,-1
30,36,31,-1
45,36,31,-1
-4,51,10,-1
-15,41,10,-1
48,53,49,-1
34,48,44,-1
2,50,15,-1
45,53,35,-1
44,40,37,-1
50,50,8,-1
16,35,51,-1
12,42,27,-1
-9,42,38,-1
-18,35,8,-1
31,44,27,-1
44,35,29,-1
-9,53,23,-1
32,45,10,-1
15,43,45,-1
-6,47,30,-1
6,55,17,-1
49,46,12,-1
13,55,28,-1
34,40,9,-1
3,38,10,-1
46,40,34,-1
47,46,41,-1
42,45,38,-1
36,43,32,-1
47,51,47,-1
-14,55,28,-1
-9,44,37,-1
15,36,27,-1
19,52,29,-1
-4,46,35,-1
6,48,32,-1
6,46,55,-1
-3,48,45,-1
19,50,51,-1
51,54,10,-1
8,53,26,-1
39,46,42,-1
34,51,27,-1
-8,35,49,-1
-7,47,42,-1
14,49,46,-1
-5,39,33,-1
41,43,10,-1
30,52,55,-1
0,55,30,-1
-5,51,21,-1
-15,54,42,-1
49,52,38,-1
3,49,43,-1
11,37,14,-1
-6,47,22,-1
-16,50,38,-1
-2,35,31,-1
-5,42,41,-1
34,51,34,-1
-16,40,32,-1
33,42,10,-1
-14,52,36,-1
33,37,40,-1
2,50,17,-1
-14,40,14,-1
-7,44,13,-1
-3,45,46,-1
7,39,28,-1
-17,55,20,-1
34,45,29,-1
41,41,53,-1
39,37,9,-1
48,37,54,-1
44,35,21,-1
-3,44,48,-1
-17,49,20,-1
13,37,28,-1
17,37,24,-1
-9,42,53,-1
5,46,37,-1
37,35,12,-1
-15,47,30,-1
35,48,41,-1
20,35,9,-1
2,52,48,-1
34,40,49,-1
15,52,39,-1
37,42,29,-1
49,40,41,-1
33,46,45,-1
44,45,9,-1
39,54,18,-1
39,48,23,-1
14,48,36,-1
5,51,40,-1
17,51,24,-1
46,43,10,-1
